time;id;trait_1;trait_2;trait_3;trait_4
"16-Apr-2018 19:03:52";1931;59.4;0;0;0.36
"17-Apr-2018 18:38:34";1931;59.4000000000001;0;0;0.00306834030683403
"18-Apr-2018 07:53:17";1931;59.4;0;0;0.825
"18-Apr-2018 18:27:18";1931;56.7148491115915;0;0;0.00277053800563669
"20-Apr-2018 18:34:39";1931;42.6362060287456;0;0;0.00119416929570329
"22-Apr-2018 01:39:41";1931;6;0;0;0.111111111111111
"24-Apr-2018 08:31:15";1931;31.5998299002703;0;0;0.00110847769063819
"26-Apr-2018 23:12:04";1931;31.7922140062884;0.000540179877157063;12.2862957122981;0.000259184138105241
"28-Apr-2018 17:35:36";1931;37.6090367607244;0;0;0.00058344864929908
"15-Apr-2018 20:00:31";1952;29.6793116985082;0;0;0.00590159644072233
"30-Apr-2018 20:38:02";1952;54;0;0;0.0753138075313808
"11-Apr-2018 21:37:50";2052;6;0;0;0.1
"15-Apr-2018 06:02:23";2052;56.6878107944209;0;0;0.00130615291318748
"17-Apr-2018 18:15:21";2052;59.4;0;0;1.1
"18-Apr-2018 19:46:21";2052;54;0;0;0.461538461538461
"21-Apr-2018 00:30:37";2052;56.6993514292578;0;0;0.00224837857314437
"22-Apr-2018 02:34:30";2052;6;0;0;0.000150075037518759
"27-Apr-2018 00:48:36";2052;22.3572876384316;3.59173900029931e-05;0.976979946123915;0.000143849146961987
"17-Apr-2018 07:21:55";2145;59.4;0;0;0.00155525881706072
"18-Apr-2018 17:10:15";2145;56.710233836034;0;0;0.00117212936835251
"27-Apr-2018 07:10:24";2145;55.5024588148512;0;0;0.00155041936453296
"11-Apr-2018 23:28:14";2167;29.9939050198933;0;0;0.000278143933438947
"18-Apr-2018 05:20:02";2167;32.6088830378711;0;0;0.000503265634785721
"24-Apr-2018 20:33:49";2167;56.696353507217;0;0;0.00159534059255508
"26-Apr-2018 13:32:12";2167;45.5573256005787;0.000753816672800416;7.97992541275193;0.000610051251556854
"28-Apr-2018 20:10:59";2167;54;0;0;0.00151120812694148
"02-May-2018 13:01:27";2167;30.1015958340333;0;0;0.000739123131194356
"12-Apr-2018 01:49:01";2168;45;0;0;1.25
"18-Apr-2018 01:20:36";2168;30.0328673323823;0;0;0.000603219889953128
"22-Apr-2018 08:24:18";2168;20.0914813891362;0;0;0.000167702058561626
"27-Apr-2018 01:01:33";2168;18.1574206121959;0;0;0.000103346284973019
"02-May-2018 13:14:42";2168;30.1151282569178;0;0;0.000706927893354878
"20-Apr-2018 17:54:48";2218;55.3117715279791;0;0;0.00135845001961353
"21-Apr-2018 18:26:11";2218;55.0511318645489;0;0;0.00259560296241092
"24-Apr-2018 08:02:58";2218;31.3358114970546;0;0;0.000806709033400075
"25-Apr-2018 19:14:38";2218;20.6066491435834;0.000779873487189856;8.72931891048786;0.000240627631517554
"27-Apr-2018 18:07:14";2218;15.4241615968626;0;0;0.000489717934536678
"28-Apr-2018 17:50:37";2218;26.7414875072632;0;0;0.000837085996513654
"12-Apr-2018 01:23:03";2238;45;0;0;0.714285714285714
"15-Apr-2018 01:18:12";2238;32.692685265513;0;0;0.00124925802474773
"16-Apr-2018 08:16:10";2238;59.4;0;0;1.32
"18-Apr-2018 08:09:35";2238;57.5800286327845;0;0;0.000997034461601391
"22-Apr-2018 07:43:21";2238;30.0039344262295;0;0;0.00175856929955291
"24-Apr-2018 11:14:25";2238;54;0;0;0.00221148333196822
"27-Apr-2018 09:51:38";2238;59.1;0;0;1.51538461538461
"28-Apr-2018 13:55:27";2238;28.5829578996427;0.00139816684791052;12.793061706152;0.000552869897376381
"30-Apr-2018 11:43:33";2238;28.0502526645301;0.000804948945367817;8.06284346622087;0.000407140843381693
"17-Apr-2018 23:13:34";2243;59.4;0;0;1.52307692307692
"23-Apr-2018 09:31:40";2243;27.2846099654157;0;0;0.00128206621097616
"27-Apr-2018 10:23:59";2243;59.1;0;0;1.15882352941176
"28-Apr-2018 22:19:52";2243;12.6967376541533;0;0;0.000469590373227576
"01-May-2018 18:15:57";2243;27.411523696234;0;0;0.000459258157830706
"16-Apr-2018 09:49:05";2250;59.1;0;0;2.18888888888889
"17-Apr-2018 05:22:25";2250;59.4;0;0;0.825
"17-Apr-2018 16:09:14";2250;59.4;0;0;0.825
"18-Apr-2018 05:28:04";2250;56.69474393531;0;0;0.00271338724168913
"18-Apr-2018 21:43:18";2250;31.4971520256719;0;0;0.000780518785933948
"22-Apr-2018 04:20:10";2250;29.984858044164;0.00141955835962145;13.4914826498423;0.000518251464623704
"23-Apr-2018 09:30:43";2250;28.6111949714391;0.00123878782317451;12.7894333924269;0.000482560485367325
"25-Apr-2018 18:17:29";2263;29.9956086850451;0;0;0.000768480117101732
"02-May-2018 00:14:56";2263;27.2779011035654;0;0;0.000498423478049964
"18-Apr-2018 04:27:37";2364;54;0;0;0.947368421052632
"25-Apr-2018 20:37:03";2364;6;0;0;0.0166666666666667
"15-Apr-2018 18:56:30";2366;56.0111353838646;0;0;0.000655364343066965
"18-Apr-2018 09:28:23";2366;56.6892196539642;0.000806692560501942;14.7907080968031;0.000765135671021539
"22-Apr-2018 01:04:11";2366;56.5273677223592;0;0;0.00218052242306886
"24-Apr-2018 11:21:07";2366;54;0;0;0.00194699837750135
"27-Apr-2018 10:30:13";2366;42.8584270416115;0;0;0.000932278661326272
"16-Apr-2018 18:41:49";2377;59.4;0;0;0.792
"17-Apr-2018 18:04:42";2377;59.4;0;0;0.792
"18-Apr-2018 08:02:44";2377;59.4;0;0;0.00245505269683819
